TITLE = "CAX8R element in dynamic analysis"
VARIABLES =    "X"   "Y"   "Z" "DIS"

      0.0000      0.0000      0.0000      0.0000
    100.0000      0.0000      0.0000      0.0000
    100.0000    100.0000      0.0000      0.0000
      0.0000    100.0000      0.0000      0.0000
     50.0000      0.0000      0.0000      0.0000
    100.0000     50.0000      0.0000      0.0000
     50.0000    100.0000      0.0000      0.0000
      0.0000     50.0000      0.0000      0.0000
           1           2           3           4           5           6           7           8
