TITLE = "CAX8R_SPHERE"
VARIABLES =    "X"   "Y"   "Z" "DIS"

     10.0000      0.0000      0.0000      0.0000
     10.5000      0.0000      0.0000      0.0000
     11.0000      0.0000      0.0000      0.0000
     11.5000      0.0000      0.0000      0.0000
     12.0000      0.0000      0.0000      0.0000
     12.5000      0.0000      0.0000      0.0000
     13.0000      0.0000      0.0000      0.0000
     13.5000      0.0000      0.0000      0.0000
     14.0000      0.0000      0.0000      0.0000
     14.5000      0.0000      0.0000      0.0000
     15.0000      0.0000      0.0000      0.0000
     15.5000      0.0000      0.0000      0.0000
     16.0000      0.0000      0.0000      0.0000
     16.5000      0.0000      0.0000      0.0000
     17.0000      0.0000      0.0000      0.0000
     17.5000      0.0000      0.0000      0.0000
     18.0000      0.0000      0.0000      0.0000
     18.5000      0.0000      0.0000      0.0000
     19.0000      0.0000      0.0000      0.0000
     19.5000      0.0000      0.0000      0.0000
     20.0000      0.0000      0.0000      0.0000
      9.9923      0.3926      0.0000      0.0000
     10.9915      0.4319      0.0000      0.0000
     11.9907      0.4711      0.0000      0.0000
     12.9900      0.5104      0.0000      0.0000
     13.9892      0.5496      0.0000      0.0000
     14.9884      0.5889      0.0000      0.0000
     15.9877      0.6282      0.0000      0.0000
     16.9869      0.6674      0.0000      0.0000
     17.9861      0.7067      0.0000      0.0000
     18.9854      0.7459      0.0000      0.0000
     19.9846      0.7852      0.0000      0.0000
      9.9692      0.7846      0.0000      0.0000
     10.4676      0.8238      0.0000      0.0000
     10.9661      0.8631      0.0000      0.0000
     11.4645      0.9023      0.0000      0.0000
     11.9630      0.9415      0.0000      0.0000
     12.4615      0.9807      0.0000      0.0000
     12.9599      1.0200      0.0000      0.0000
     13.4584      1.0592      0.0000      0.0000
     13.9568      1.0984      0.0000      0.0000
     14.4553      1.1377      0.0000      0.0000
     14.9538      1.1769      0.0000      0.0000
     15.4522      1.2161      0.0000      0.0000
     15.9507      1.2553      0.0000      0.0000
     16.4491      1.2946      0.0000      0.0000
     16.9476      1.3338      0.0000      0.0000
     17.4461      1.3730      0.0000      0.0000
     17.9445      1.4123      0.0000      0.0000
     18.4430      1.4515      0.0000      0.0000
     18.9414      1.4907      0.0000      0.0000
     19.4399      1.5300      0.0000      0.0000
     19.9383      1.5692      0.0000      0.0000
      9.9307      1.1754      0.0000      0.0000
     10.9238      1.2929      0.0000      0.0000
     11.9168      1.4104      0.0000      0.0000
     12.9099      1.5280      0.0000      0.0000
     13.9030      1.6455      0.0000      0.0000
     14.8960      1.7631      0.0000      0.0000
     15.8891      1.8806      0.0000      0.0000
     16.8822      1.9981      0.0000      0.0000
     17.8752      2.1157      0.0000      0.0000
     18.8683      2.2332      0.0000      0.0000
     19.8614      2.3507      0.0000      0.0000
      9.8769      1.5643      0.0000      0.0000
     10.3707      1.6426      0.0000      0.0000
     10.8646      1.7208      0.0000      0.0000
     11.3584      1.7990      0.0000      0.0000
     11.8523      1.8772      0.0000      0.0000
     12.3461      1.9554      0.0000      0.0000
     12.8399      2.0336      0.0000      0.0000
     13.3338      2.1119      0.0000      0.0000
     13.8276      2.1901      0.0000      0.0000
     14.3215      2.2683      0.0000      0.0000
     14.8153      2.3465      0.0000      0.0000
     15.3092      2.4247      0.0000      0.0000
     15.8030      2.5030      0.0000      0.0000
     16.2969      2.5812      0.0000      0.0000
     16.7907      2.6594      0.0000      0.0000
     17.2845      2.7376      0.0000      0.0000
     17.7784      2.8158      0.0000      0.0000
     18.2722      2.8940      0.0000      0.0000
     18.7661      2.9723      0.0000      0.0000
     19.2599      3.0505      0.0000      0.0000
     19.7538      3.1287      0.0000      0.0000
      9.8079      1.9509      0.0000      0.0000
     10.7886      2.1460      0.0000      0.0000
     11.7694      2.3411      0.0000      0.0000
     12.7502      2.5362      0.0000      0.0000
     13.7310      2.7313      0.0000      0.0000
     14.7118      2.9264      0.0000      0.0000
     15.6926      3.1214      0.0000      0.0000
     16.6733      3.3165      0.0000      0.0000
     17.6541      3.5116      0.0000      0.0000
     18.6349      3.7067      0.0000      0.0000
     19.6157      3.9018      0.0000      0.0000
      9.7237      2.3345      0.0000      0.0000
     10.2099      2.4512      0.0000      0.0000
     10.6961      2.5679      0.0000      0.0000
     11.1823      2.6846      0.0000      0.0000
     11.6684      2.8013      0.0000      0.0000
     12.1546      2.9181      0.0000      0.0000
     12.6408      3.0348      0.0000      0.0000
     13.1270      3.1515      0.0000      0.0000
     13.6132      3.2682      0.0000      0.0000
     14.0994      3.3850      0.0000      0.0000
     14.5855      3.5017      0.0000      0.0000
     15.0717      3.6184      0.0000      0.0000
     15.5579      3.7351      0.0000      0.0000
     16.0441      3.8518      0.0000      0.0000
     16.5303      3.9686      0.0000      0.0000
     17.0165      4.0853      0.0000      0.0000
     17.5027      4.2020      0.0000      0.0000
     17.9888      4.3187      0.0000      0.0000
     18.4750      4.4355      0.0000      0.0000
     18.9612      4.5522      0.0000      0.0000
     19.4474      4.6689      0.0000      0.0000
      9.6246      2.7144      0.0000      0.0000
     10.5870      2.9858      0.0000      0.0000
     11.5495      3.2573      0.0000      0.0000
     12.5119      3.5287      0.0000      0.0000
     13.4744      3.8002      0.0000      0.0000
     14.4368      4.0716      0.0000      0.0000
     15.3993      4.3430      0.0000      0.0000
     16.3617      4.6145      0.0000      0.0000
     17.3242      4.8859      0.0000      0.0000
     18.2866      5.1574      0.0000      0.0000
     19.2491      5.4288      0.0000      0.0000
