TITLE = "problem plate_strain1"
VARIABLES =    "X"   "Y"   "Z" "DIS"

ZONE T="Time =       0.0000" F=FEPOINT N=    9 E=    4 ET=QUADRILATERAL C=CYAN
      0.0000      0.0000      0.0000      0.0000
      0.0000      1.5000      0.0000      0.0000
      0.0000      3.0000      0.0000      0.0000
      2.5000      0.0000      0.0000      0.0000
      2.5000      1.1500      0.0000      0.0000
      2.5000      2.3000      0.0000      0.0000
      5.0000      0.0000      0.0000      0.0000
      5.0000      0.8000      0.0000      0.0000
      5.0000      1.6000      0.0000      0.0000
           1           4           5           2
           2           5           6           3
           4           7           8           5
           5           8           9           6
